source	name	url	format	bytes	checksum	role	verified
gcmd-science-keywords	gcmd-sciencekeywords-1.rdf	https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=rdf&page_num=1&page_size=2000					HEAD 404 (HEAD unsupported), GET 200 2026-09-25
gcmd-science-keywords	gcmd-sciencekeywords-2.rdf	https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=rdf&page_num=2&page_size=2000					HEAD 404 (HEAD unsupported), GET 200 2026-09-25
sweet-ontology	sweetAll	http://sweetontology.net/sweetAll					HEAD 200 2026-09-25 (chunked, no Content-Length)
ipcc-ar6-reference-regions	IPCC-WGI-reference-regions-v4.geojson	https://raw.githubusercontent.com/IPCC-WG1/Atlas/main/reference-regions/IPCC-WGI-reference-regions-v4.geojson		695765			HEAD 200 2026-09-25
oeis-names	names.gz	https://oeis.org/names.gz		7765495			HEAD 200 2026-09-25
pubchem-periodic-table	pubchem-periodictable.csv	https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/CSV		15017			HEAD 200 2026-09-25 (chunked, no Content-Length)
owid-co2-ghg	owid-co2-data.csv	https://owid-public.owid.io/data/co2/owid-co2-data.csv		33246106			HEAD 200 2026-09-25
un-sdg-global-database	GetArchiveTableById	https://unstats.un.org/sdgs/UNSDGAPIV5/v1/sdg/ArchiveData/GetArchiveTableById		84485510			POST 200 2026-09-25 (headers only; 84,485,510 B text/csv)
eurostat-toc	txt	https://ec.europa.eu/eurostat/api/dissemination/catalogue/toc/txt?lang=en					HEAD 200 2026-09-25 (chunked, no Content-Length)
spdx-license-list	licenses.json	https://spdx.org/licenses/licenses.json		339359			HEAD 200 2026-09-25
iana-media-types	media-types.xml	https://www.iana.org/assignments/media-types/media-types.xml		610621			HEAD 200 2026-09-25
unicode-ucd	UCD.zip	https://www.unicode.org/Public/18.0.0/ucd/UCD.zip		5657953			HEAD 200 2026-09-25
github-linguist-languages	languages.yml	https://raw.githubusercontent.com/github-linguist/linguist/main/lib/linguist/languages.yml		165959			HEAD 200 2026-09-25
